nome,idade,perfil_risco,propensao_esg,faixa_propensao,categoria_produto,vence_em_dias,produtos_esg,valor_em_caixa,Renda Fixa,Multimercado,ETF,Renda Variável,Caixa
Cliente 55,20,Moderado,0.47,Média,Caixa,115,0,12419.68,29673.03,8677.45,34761.26,14468.58,12419.68
Cliente 56,54,Moderado,0.54,Média,Renda Variável,53,1,15899.67,47624.95,8857.62,14092.7,13525.06,15899.67
Cliente 57,68,Agressivo,0.18,Baixa,ETF,127,0,7787.94,1207.64,77698.57,5510.01,7795.85,7787.94
Cliente 58,24,Moderado,0.31,Baixa,Renda Fixa,140,0,34392.0,1791.02,7127.73,12473.72,44215.53,34392.0
Cliente 59,38,Agressivo,0.23,Baixa,Renda Fixa,125,1,5740.72,17051.99,41036.56,30887.6,5283.13,5740.72
Cliente 60,26,Agressivo,0.21,Baixa,Caixa,15,0,4966.21,23085.69,16338.47,41657.54,13952.09,4966.21
Cliente 61,56,Conservador,0.64,Média,Renda Fixa,138,1,24297.51,17840.06,46721.28,696.22,10444.93,24297.51
Cliente 62,35,Conservador,0.26,Baixa,Caixa,100,1,43562.73,1506.79,10717.46,31985.45,12227.57,43562.73
Cliente 63,21,Moderado,0.63,Média,Multimercado,103,0,8360.06,21296.68,17299.95,2650.4,50392.91,8360.06
Cliente 64,42,Moderado,0.06,Baixa,Renda Fixa,80,1,18915.23,18152.28,8973.51,36774.34,17184.64,18915.23
Cliente 65,77,Conservador,0.14,Baixa,ETF,80,0,58764.56,25174.68,3323.28,6481.61,6255.86,58764.56
Cliente 66,31,Moderado,0.27,Baixa,Multimercado,14,1,8693.8,33640.71,25849.75,13286.88,18528.86,8693.8
Cliente 67,67,Moderado,0.6,Média,Multimercado,32,1,35083.99,29636.14,25471.18,9318.51,490.17,35083.99
Cliente 68,75,Moderado,0.68,Média,Renda Fixa,176,1,26089.64,39475.98,2185.49,17438.07,14810.83,26089.64
Cliente 69,26,Moderado,0.44,Média,ETF,146,1,4696.72,1261.33,16709.13,30134.61,47198.22,4696.72
Cliente 70,43,Moderado,0.45,Média,Multimercado,119,1,15981.48,4189.2,34455.27,26954.11,18419.95,15981.48
Cliente 71,70,Moderado,0.72,Média,ETF,178,1,17569.72,23139.74,33003.48,5973.14,20313.92,17569.72
Cliente 72,19,Moderado,0.02,Baixa,Caixa,26,1,41828.14,24009.3,15004.16,17470.27,1688.12,41828.14
Cliente 73,37,Conservador,0.34,Baixa,ETF,32,1,2154.57,29548.31,12371.47,40150.17,15775.47,2154.57
Cliente 74,45,Moderado,0.82,Alta,Renda Variável,32,0,11913.78,4541.86,21020.23,58645.94,3878.19,11913.78
Cliente 75,64,Moderado,0.6,Média,Caixa,147,0,25472.4,25441.05,21895.25,2045.16,25146.15,25472.4
Cliente 76,77,Agressivo,0.34,Baixa,Multimercado,16,1,9493.13,6244.93,44998.94,39079.7,183.29,9493.13
Cliente 77,24,Moderado,0.91,Alta,Renda Fixa,176,0,18131.21,52483.58,1788.22,7685.77,19911.23,18131.21
Cliente 78,61,Agressivo,0.77,Alta,Multimercado,123,1,35322.77,19221.02,2016.23,24377.51,19062.47,35322.77
Cliente 79,78,Moderado,0.26,Baixa,Renda Variável,40,1,1400.34,19052.74,61630.68,16488.97,1427.27,1400.34
Cliente 80,25,Conservador,0.65,Média,ETF,133,0,27501.25,31892.76,16415.35,2589.23,21601.4,27501.25
Cliente 81,64,Agressivo,0.6,Média,ETF,1,0,17910.38,19910.19,14382.53,26766.22,21030.67,17910.38
Cliente 82,52,Moderado,0.4,Baixa,ETF,47,0,11416.69,9111.98,5931.66,28402.92,45136.75,11416.69
Cliente 83,31,Moderado,0.37,Baixa,Renda Fixa,44,1,13164.51,5683.39,22230.8,30313.94,28607.35,13164.51
Cliente 84,34,Conservador,0.34,Baixa,Multimercado,159,1,16407.75,34918.42,9904.11,35610.49,3159.23,16407.75
Cliente 85,53,Moderado,0.62,Média,Renda Variável,84,0,10482.18,6395.24,28942.41,18240.66,35939.51,10482.18
Cliente 86,67,Moderado,0.44,Média,ETF,91,0,8718.84,24875.47,29855.52,25685.52,10864.64,8718.84
Cliente 87,57,Moderado,0.83,Alta,Caixa,150,0,24127.81,17996.16,25251.16,27437.22,5187.65,24127.81
Cliente 88,21,Agressivo,0.67,Média,Multimercado,39,0,14363.97,61044.94,629.51,12986.03,10975.55,14363.97
Cliente 89,19,Conservador,0.07,Baixa,Multimercado,81,1,2079.89,15095.14,32428.08,22935.75,27461.14,2079.89
Cliente 90,79,Moderado,0.64,Média,Renda Fixa,119,0,14275.34,13620.6,19168.79,9386.8,43548.46,14275.34
Cliente 91,23,Moderado,0.27,Baixa,Renda Fixa,38,0,18742.98,15730.17,1513.59,9899.3,54113.97,18742.98
Cliente 92,71,Conservador,0.59,Média,Multimercado,57,0,19302.64,24984.1,30771.84,24497.13,444.29,19302.64
Cliente 93,59,Moderado,0.68,Média,Renda Variável,17,1,3525.35,22968.79,40549.12,15644.59,17312.14,3525.35
Cliente 94,21,Moderado,0.23,Baixa,Caixa,106,1,20938.08,16271.11,36085.01,21436.62,5269.17,20938.08
Cliente 95,71,Moderado,0.46,Média,Renda Fixa,128,1,623.42,1548.97,12715.45,17795.35,67316.81,623.42
Cliente 96,46,Conservador,0.19,Baixa,ETF,108,0,63506.17,10111.03,10178.25,4253.92,11950.63,63506.17
Cliente 97,35,Moderado,0.05,Baixa,Multimercado,22,0,12657.4,50854.5,5149.62,15021.52,16316.96,12657.4
Cliente 98,43,Conservador,0.38,Baixa,Caixa,35,1,8055.55,9666.31,9561.12,38616.26,34100.76,8055.55
Cliente 99,61,Agressivo,0.36,Baixa,Renda Fixa,5,0,1753.19,7089.58,11412.95,45884.28,33860.0,1753.19
Cliente 100,51,Conservador,1.0,Alta,Renda Variável,157,0,32338.39,26461.39,6431.61,11051.79,23716.83,32338.39
Cliente 101,27,Moderado,0.45,Média,Renda Variável,111,0,45901.97,478.42,12584.63,22045.27,18989.71,45901.97
Cliente 102,79,Agressivo,0.33,Baixa,Renda Fixa,157,0,25065.57,9032.8,21711.65,31977.75,12212.24,25065.57
Cliente 103,53,Moderado,0.58,Média,ETF,163,1,19651.19,10437.33,25729.67,41653.69,2528.13,19651.19
Cliente 104,31,Agressivo,0.09,Baixa,ETF,117,0,19798.63,29233.64,37357.12,11236.89,2373.71,19798.63
Cliente 105,48,Conservador,0.96,Alta,Renda Fixa,18,0,16577.83,16364.78,10033.04,50689.55,6334.81,16577.83
Cliente 106,65,Agressivo,0.63,Média,Renda Fixa,161,0,13913.98,31240.65,31738.81,4936.39,18170.16,13913.98
Cliente 107,32,Moderado,0.75,Média,Multimercado,16,0,17506.13,32363.97,5218.9,39604.96,5306.04,17506.13
Cliente 108,25,Agressivo,0.17,Baixa,Renda Fixa,61,0,41941.48,1682.66,20067.09,15750.54,20558.23,41941.48
Cliente 109,31,Conservador,0.41,Média,Multimercado,123,1,4175.28,32401.54,18613.94,8727.45,36081.79,4175.28
Cliente 110,40,Conservador,0.42,Média,Renda Fixa,107,0,30794.59,179.29,22978.57,13714.32,32333.22,30794.59
Cliente 111,77,Conservador,0.82,Alta,ETF,138,0,12815.42,8309.75,18745.6,17660.8,42468.42,12815.42
Cliente 112,74,Moderado,0.0,Baixa,Renda Variável,103,1,10847.84,24529.95,48552.78,727.25,15342.18,10847.84
Cliente 113,79,Agressivo,0.3,Baixa,Renda Variável,122,1,9011.7,23565.02,9868.74,50063.53,7491.0,9011.7
Cliente 114,57,Agressivo,0.98,Alta,Renda Variável,59,1,4435.93,24138.18,15491.14,26893.08,29041.66,4435.93
Cliente 115,38,Conservador,0.47,Média,Renda Fixa,136,1,33067.43,861.56,8001.01,49212.76,8857.24,33067.43
Cliente 116,33,Agressivo,0.38,Baixa,Renda Fixa,57,0,40858.01,46950.7,4707.6,5140.89,2342.8,40858.01
Cliente 117,62,Moderado,0.12,Baixa,ETF,43,0,394.6,19713.67,11543.58,30300.41,38047.74,394.6
Cliente 118,35,Moderado,0.97,Alta,ETF,20,1,6472.8,18310.48,40689.37,15963.47,18563.88,6472.8
Cliente 119,64,Conservador,0.02,Baixa,Caixa,12,0,6140.81,24935.31,32070.41,13067.92,23785.54,6140.81
Cliente 120,70,Agressivo,0.74,Média,Renda Variável,137,1,16838.26,21990.97,15725.15,26209.73,19235.88,16838.26
Cliente 121,41,Conservador,0.77,Alta,Multimercado,61,1,15462.29,36089.36,21511.6,23155.93,3780.81,15462.29
Cliente 122,43,Moderado,0.24,Baixa,Caixa,128,1,30548.27,12492.34,17653.38,16876.34,22429.66,30548.27
Cliente 123,42,Agressivo,0.67,Média,Multimercado,131,1,31590.12,10966.66,7398.55,41425.6,8619.06,31590.12
Cliente 124,77,Conservador,0.09,Baixa,Renda Variável,135,0,13548.04,42190.07,6131.3,2728.91,35401.69,13548.04
Cliente 125,77,Moderado,0.26,Baixa,Renda Variável,119,1,32210.72,11549.85,5677.31,9937.63,40624.49,32210.72
Cliente 126,77,Conservador,0.79,Alta,Caixa,103,0,6191.5,17295.75,6138.8,35908.27,34465.67,6191.5
Cliente 127,62,Moderado,0.86,Alta,ETF,19,1,1443.14,36176.65,38625.67,5935.55,17819.0,1443.14
Cliente 128,58,Moderado,0.61,Média,ETF,94,0,52953.34,3464.79,12082.04,14397.38,17102.46,52953.34
Cliente 129,46,Moderado,0.51,Média,ETF,157,0,23330.14,4470.14,4722.1,40061.64,27415.98,23330.14
Cliente 130,32,Moderado,0.16,Baixa,Renda Fixa,99,1,83495.44,2810.69,12579.1,533.35,581.43,83495.44
Cliente 131,62,Moderado,0.06,Baixa,Caixa,137,0,12795.87,3398.36,17115.05,128.01,66562.71,12795.87
Cliente 132,18,Moderado,0.12,Baixa,ETF,152,1,14010.24,9915.58,53302.04,16115.25,6656.89,14010.24
Cliente 133,42,Agressivo,0.23,Baixa,ETF,132,0,20180.05,17647.51,42467.48,9980.55,9724.4,20180.05
Cliente 134,24,Moderado,0.34,Baixa,ETF,31,0,42156.47,8773.7,10215.96,29584.71,9269.16,42156.47
Cliente 135,26,Moderado,0.38,Baixa,Renda Variável,132,0,37339.16,25778.97,6486.6,28714.8,1680.47,37339.16
Cliente 136,41,Moderado,0.35,Baixa,Renda Variável,142,1,4348.07,30055.16,30578.22,26775.89,8242.66,4348.07
Cliente 137,18,Moderado,0.24,Baixa,Renda Variável,177,1,3770.81,24758.29,12311.42,22338.68,36820.81,3770.81
Cliente 138,61,Moderado,0.51,Média,ETF,155,1,44828.63,979.26,7283.88,23408.22,23500.01,44828.63
Cliente 139,25,Agressivo,0.83,Alta,Multimercado,74,1,11554.12,34466.37,23963.37,9863.24,20152.9,11554.12
Cliente 140,41,Moderado,0.28,Baixa,Renda Fixa,127,1,10308.77,3917.66,35421.29,47647.62,2704.66,10308.77
Cliente 141,28,Conservador,0.94,Alta,ETF,87,1,26243.37,28100.36,28317.52,14206.01,3132.74,26243.37
Cliente 142,68,Moderado,0.87,Alta,Renda Fixa,7,0,9026.7,15030.69,54573.11,282.38,21087.12,9026.7
Cliente 143,34,Moderado,0.16,Baixa,Renda Fixa,16,1,60454.84,30692.84,1051.89,6667.84,1132.58,60454.84
Cliente 144,25,Agressivo,0.79,Alta,Multimercado,33,0,9806.02,40530.83,6656.48,14624.24,28382.42,9806.02
Cliente 145,52,Conservador,0.57,Média,ETF,36,1,11420.57,45389.8,22418.59,7630.58,13140.45,11420.57
Cliente 146,52,Conservador,0.57,Média,Caixa,93,1,32568.68,25455.8,17039.72,1226.08,23709.71,32568.68
Cliente 147,50,Moderado,0.39,Baixa,Caixa,25,1,3136.78,6743.44,14387.53,21314.04,54418.2,3136.78
Cliente 148,76,Moderado,0.5,Média,Multimercado,30,0,3723.13,26873.8,17637.02,935.69,50830.36,3723.13
Cliente 149,22,Agressivo,0.4,Baixa,ETF,171,1,33524.39,27110.16,21226.4,3748.42,14390.63,33524.39
Cliente 150,59,Conservador,0.54,Média,Multimercado,8,1,6706.39,2549.09,27729.6,7761.47,55253.45,6706.39
Cliente 151,56,Agressivo,0.63,Média,Caixa,80,1,29458.47,19188.48,12693.04,16353.25,22306.76,29458.47
Cliente 152,75,Conservador,0.67,Média,Renda Variável,171,1,27564.51,44866.22,9457.65,4422.03,13689.6,27564.51
Cliente 153,58,Agressivo,0.53,Média,Renda Variável,88,1,7717.95,35337.68,8700.32,38113.06,10131.0,7717.95
Cliente 154,45,Conservador,0.72,Média,Renda Fixa,89,1,19017.78,3053.85,4958.59,68594.16,4375.62,19017.78
Cliente 155,24,Conservador,0.14,Baixa,Renda Variável,52,1,29693.4,28356.17,7155.07,22041.2,12754.17,29693.4
Cliente 156,26,Moderado,0.21,Baixa,Renda Fixa,5,1,14505.43,30170.19,10571.6,8174.32,36578.46,14505.43
Cliente 157,25,Agressivo,0.82,Alta,Caixa,68,1,18544.46,4133.73,39648.73,31833.14,5839.94,18544.46
Cliente 158,29,Agressivo,0.32,Baixa,Renda Variável,12,0,11796.96,71405.39,408.57,4654.81,11734.26,11796.96
Cliente 159,51,Moderado,0.02,Baixa,Renda Fixa,128,0,2678.42,33216.04,25546.11,16029.38,22530.05,2678.42
Cliente 160,50,Agressivo,0.15,Baixa,ETF,110,0,43187.87,3320.38,5193.65,4037.85,44260.24,43187.87
Cliente 161,65,Conservador,0.22,Baixa,Multimercado,144,1,21010.89,19609.68,142.01,32570.43,26666.99,21010.89
Cliente 162,72,Agressivo,0.96,Alta,Caixa,93,0,1607.7,66336.61,12602.34,4356.93,15096.41,1607.7
Cliente 163,40,Moderado,0.57,Média,Renda Variável,52,0,20482.14,1508.21,33724.12,8337.08,35948.45,20482.14
Cliente 164,79,Agressivo,0.93,Alta,Renda Variável,74,1,48964.27,8566.58,2840.4,16684.77,22943.99,48964.27
Cliente 165,41,Agressivo,0.58,Média,ETF,11,0,47142.95,4642.37,7832.29,11988.29,28394.1,47142.95
Cliente 166,54,Agressivo,0.48,Média,Renda Fixa,159,1,33806.46,30260.37,7149.74,1832.01,26951.42,33806.46
Cliente 167,52,Moderado,0.31,Baixa,Caixa,53,1,1323.83,21878.11,16132.37,51191.4,9474.28,1323.83
Cliente 168,61,Moderado,0.61,Média,ETF,102,1,59534.77,27286.68,4883.01,7736.8,558.74,59534.77
Cliente 169,57,Agressivo,0.14,Baixa,Caixa,114,1,27618.62,25989.08,30274.91,6102.69,10014.7,27618.62
Cliente 170,39,Conservador,0.9,Alta,Renda Fixa,104,1,194.46,25271.69,6113.19,6221.58,62199.09,194.46
Cliente 171,44,Agressivo,0.83,Alta,ETF,27,0,1272.45,15082.67,71431.5,5784.19,6429.18,1272.45
Cliente 172,52,Agressivo,0.32,Baixa,Multimercado,131,1,22110.61,736.81,37876.02,6156.19,33120.37,22110.61
Cliente 173,18,Conservador,0.95,Alta,Caixa,24,0,11599.65,4538.23,6893.15,12638.64,64330.33,11599.65
Cliente 174,52,Agressivo,0.83,Alta,Multimercado,66,1,33996.96,17015.11,6922.42,15561.01,26504.5,33996.96
Cliente 175,54,Moderado,0.67,Média,Caixa,43,1,6986.6,49746.52,41391.32,1673.66,201.9,6986.6
Cliente 176,64,Agressivo,0.12,Baixa,Renda Fixa,88,1,6464.28,23344.57,35844.36,8157.54,26189.26,6464.28
Cliente 177,31,Agressivo,0.48,Média,Caixa,115,1,4132.81,6605.41,13550.0,18188.32,57523.47,4132.81
Cliente 178,20,Conservador,0.51,Média,Renda Fixa,121,0,15130.0,17336.25,45280.63,2230.12,20023.0,15130.0
Cliente 179,18,Moderado,0.23,Baixa,Caixa,103,0,53858.74,27131.53,2863.68,15200.26,945.79,53858.74
Cliente 180,22,Agressivo,0.08,Baixa,ETF,60,1,1570.31,21873.92,9620.76,14952.46,51982.56,1570.31
Cliente 181,43,Moderado,0.78,Alta,Caixa,72,0,69611.88,1948.75,15192.02,11015.16,2232.18,69611.88
Cliente 182,72,Moderado,0.12,Baixa,Renda Variável,166,1,18470.65,21960.57,32636.71,801.66,26130.41,18470.65
Cliente 183,31,Moderado,0.59,Média,Renda Fixa,102,0,11989.4,33914.55,30012.82,17930.64,6152.61,11989.4
Cliente 184,56,Moderado,0.94,Alta,Renda Fixa,21,1,1312.84,72393.62,13045.16,7405.53,5842.85,1312.84
Cliente 185,44,Moderado,0.88,Alta,Renda Fixa,21,1,25336.12,50554.01,9492.6,1648.51,12968.76,25336.12
Cliente 186,26,Moderado,0.28,Baixa,Caixa,144,1,16691.02,46336.86,32353.06,3529.9,1089.16,16691.02
Cliente 187,32,Conservador,0.85,Alta,Caixa,142,1,12443.02,16309.06,17071.17,47689.77,6486.98,12443.02
Cliente 188,32,Moderado,0.0,Baixa,Caixa,57,0,479.52,40720.83,43161.24,9155.23,6483.18,479.52
Cliente 189,43,Conservador,0.02,Baixa,ETF,145,1,5872.11,11157.45,18809.02,56525.9,7635.52,5872.11
Cliente 190,59,Conservador,0.6,Média,ETF,62,0,4393.37,29334.45,44550.37,2518.24,19203.56,4393.37
Cliente 191,77,Conservador,0.36,Baixa,Multimercado,175,1,31088.21,1224.3,32130.09,28400.46,7156.93,31088.21
Cliente 192,30,Conservador,0.39,Baixa,Renda Variável,140,1,3191.74,48075.37,26989.68,13334.62,8408.59,3191.74
Cliente 193,68,Moderado,0.56,Média,ETF,143,1,6741.03,37849.85,36067.22,2442.32,16899.58,6741.03
Cliente 194,49,Moderado,0.19,Baixa,ETF,158,0,4044.8,6830.91,9991.78,29358.7,49773.81,4044.8
Cliente 195,56,Agressivo,0.21,Baixa,Caixa,56,1,14293.39,11241.9,54217.45,1542.43,18704.83,14293.39
Cliente 196,66,Conservador,0.48,Média,Renda Variável,97,0,12828.37,11837.13,32011.07,17377.16,25946.28,12828.37
Cliente 197,69,Agressivo,0.75,Média,Renda Variável,3,0,4190.09,34681.79,16611.13,125.26,44391.73,4190.09
Cliente 198,78,Agressivo,0.62,Média,Caixa,5,1,12033.56,41112.37,4822.51,30999.29,11032.27,12033.56
Cliente 199,49,Moderado,0.3,Baixa,Renda Variável,80,0,16614.17,30042.0,11414.32,24553.3,17376.21,16614.17
Cliente 200,21,Agressivo,0.43,Média,ETF,2,0,3072.15,5123.03,42098.03,37142.97,12563.82,3072.15
Cliente 201,47,Agressivo,0.17,Baixa,Multimercado,82,0,45838.22,15204.1,17705.48,19144.13,2108.07,45838.22
Cliente 202,54,Conservador,0.07,Baixa,Caixa,111,0,8220.89,11858.91,17279.46,37223.24,25417.51,8220.89
Cliente 203,40,Moderado,0.78,Alta,Renda Fixa,24,1,2405.57,32243.07,51977.45,2001.23,11372.68,2405.57
Cliente 204,56,Agressivo,0.27,Baixa,Caixa,134,0,65577.2,6432.78,15125.35,2956.13,9908.53,65577.2
Cliente 205,62,Agressivo,0.18,Baixa,ETF,74,1,72396.06,8501.79,9086.48,9003.08,1012.59,72396.06
Cliente 206,32,Conservador,0.69,Média,Renda Variável,174,0,501.19,37619.56,22004.48,1281.81,38592.96,501.19
Cliente 207,60,Agressivo,0.62,Média,ETF,154,0,13400.13,700.81,15137.86,8646.47,62114.74,13400.13
Cliente 208,46,Agressivo,0.63,Média,Renda Variável,11,0,6543.18,25263.92,42126.61,4282.6,21783.68,6543.18
Cliente 209,53,Agressivo,0.23,Baixa,Caixa,89,1,30171.34,31698.04,29073.59,4508.35,4548.68,30171.34
Cliente 210,30,Agressivo,0.23,Baixa,Multimercado,70,0,17107.0,11194.74,2704.69,51334.98,17658.59,17107.0
Cliente 211,49,Agressivo,0.22,Baixa,Renda Variável,18,0,17892.78,30918.13,21517.86,19656.9,10014.33,17892.78
Cliente 212,24,Conservador,0.17,Baixa,Renda Variável,129,1,3810.26,20004.59,38588.44,33657.25,3939.47,3810.26
Cliente 213,76,Conservador,0.66,Média,Multimercado,140,0,12221.03,3982.17,5576.28,52130.69,26089.82,12221.03
Cliente 214,68,Moderado,0.85,Alta,ETF,146,1,5772.16,16783.42,4922.48,35540.49,36981.46,5772.16
Cliente 215,39,Agressivo,0.72,Média,Multimercado,4,1,29000.01,4587.55,18606.41,29163.53,18642.5,29000.01
Cliente 216,45,Moderado,0.79,Alta,Caixa,41,0,70084.61,16342.55,11719.45,1309.31,544.08,70084.61
Cliente 217,19,Moderado,0.4,Baixa,Renda Fixa,84,0,9730.89,1534.39,40279.64,34190.08,14265.01,9730.89
Cliente 218,59,Moderado,0.65,Média,Multimercado,59,1,7534.11,12941.49,53652.09,18613.22,7259.08,7534.11
Cliente 219,62,Moderado,0.35,Baixa,Renda Fixa,138,0,17055.69,12126.94,27752.88,3285.69,39778.8,17055.69
Cliente 220,79,Agressivo,0.53,Média,ETF,91,1,23582.18,3883.87,34235.94,27464.91,10833.1,23582.18
Cliente 221,74,Agressivo,0.48,Média,Renda Variável,18,1,46316.77,8037.83,5450.15,33461.77,6733.48,46316.77
Cliente 222,70,Moderado,0.18,Baixa,ETF,112,1,4048.03,8347.41,2407.82,81628.03,3568.71,4048.03
