Idade,Renda,TempoDeRelacao,TicketMedioInvestido,QtdProdutosNaCarteira,PerfilRisco,Pais,TaxaJuros,HistoricoInvestimentoESG,EngajamentoESG,ConhecimentoESG,PreocupacaoAmbiental,AcessouPagESG,LeuArtigoESG,ParticipouWebinarESG,AssessorESGAtivo,NPS_ESG,ValorAlocadoESG,ESG_Label
45,15930.732571079765,97,1923955.3624740352,14,2,Alemanha,13.75,1,9,5,5,0,1,1,1,6,592477.2182062556,1
64,6399.717107267963,70,1530844.5956612201,19,2,Brasil,5.0,0,5,2,3,0,0,0,0,2,438221.2528825808,0
24,14349.049653856706,60,646299.3184408626,4,0,Brasil,13.75,0,6,2,2,0,0,0,0,4,153098.3807487026,0
61,11177.488585427009,51,1903692.0971479109,14,0,Brasil,13.75,1,8,3,4,1,0,1,0,6,491298.3622837487,0
25,12331.3302820724,100,1294837.116594878,6,1,Brasil,13.75,1,8,3,4,1,0,1,1,4,317738.71581892367,1
64,9087.312396120738,77,916344.7928338789,12,1,Brasil,13.75,0,4,1,1,0,0,0,0,2,149436.42675817225,0
52,18992.548276483343,111,941917.3959207427,2,1,Brasil,13.75,0,2,2,2,0,0,1,0,2,184765.606866291,0
31,16160.247279610303,73,827381.4909924298,17,1,Brasil,13.75,1,12,4,3,0,0,0,1,8,252017.87060370573,0
34,9040.91534410813,35,473654.18456642,1,0,Brasil,2.0,0,0,3,4,1,0,0,1,1,58467.03118528896,0
53,6661.55757235907,34,779398.0625052743,17,2,Brasil,13.75,0,3,3,2,0,0,0,0,2,85485.61385595003,0
67,10457.309476088607,16,1060513.8042463511,5,2,EUA,13.75,0,1,1,2,0,0,0,0,0,288476.1992337696,0
57,13738.010584365224,82,1060774.4279531399,16,1,Alemanha,13.75,1,12,3,4,0,0,1,0,9,328421.22294246906,1
21,12960.823375784892,18,1525856.435402911,14,1,EUA,13.75,0,0,1,1,1,1,0,0,0,388057.6439225019,0
19,17012.531299072973,38,724007.7357431316,10,1,Brasil,13.75,0,5,3,4,0,0,0,0,4,210385.044758785,0
23,15159.678888723409,114,1436428.0783148652,3,0,EUA,13.75,0,2,2,2,0,0,0,0,2,494603.5069800198,0
59,15878.276103011627,43,1160402.7591496825,3,0,Brasil,13.75,1,10,5,5,1,0,0,0,6,299077.46084534255,1
21,13307.42160244175,32,1924072.3550084005,18,0,EUA,5.0,0,5,3,3,0,0,0,0,2,406037.93974154006,0
46,6442.805079156039,7,776717.0028076256,18,2,EUA,13.75,0,6,1,2,0,0,0,0,5,270525.5618530149,0
35,11217.205875412394,87,1803420.7638789727,4,1,Brasil,13.75,0,5,1,1,0,0,0,0,4,463749.35036496265,0
43,16240.358959634661,87,1643078.669123596,7,0,Brasil,2.0,0,2,2,3,1,1,0,1,1,237213.90153284764,1
61,11793.908285901416,46,1278951.9263330193,1,1,Brasil,13.75,0,7,3,2,0,0,0,0,4,346959.7016442568,0
51,14012.361474494986,61,1312483.7888168134,16,0,Brasil,13.75,1,12,3,2,1,0,1,0,9,375084.61148953333,1
27,10725.006739015467,18,178453.36986675725,17,0,Brasil,13.75,1,13,4,4,1,1,0,0,7,18348.273431727714,0
53,7880.75260583262,71,1900946.9651309303,8,1,EUA,13.75,1,14,4,4,1,0,0,1,9,395870.7172577972,1
31,11506.623743815559,106,222802.7663565304,6,1,Brasil,13.75,0,6,2,2,0,0,0,0,5,74991.05097322295,0
48,13236.189772130616,40,1130834.284399579,2,1,Brasil,5.0,0,3,2,3,0,0,0,0,1,343842.17973345384,0
65,9377.249122154226,88,666840.8928938174,10,1,Brasil,13.75,0,7,1,2,0,0,0,0,5,100815.58055175093,0
32,11057.155020573326,78,865405.436796805,17,1,Brasil,13.75,1,13,5,4,1,1,0,1,9,152451.21540650935,1
25,8242.14703205607,50,1224264.1915652659,19,1,EUA,2.0,1,8,5,5,0,1,0,1,6,324485.158529338,1
31,16476.979670256384,5,1818614.24198582,4,1,Brasil,5.0,1,10,4,5,0,1,1,0,7,596804.201617472,1
40,10822.176969647864,110,920558.5759088799,13,1,Brasil,13.75,0,7,1,2,0,1,0,0,4,294153.8305393239,0
57,17811.022180504733,54,1975581.8150598179,19,1,EUA,13.75,0,2,2,1,0,1,0,1,1,317471.20177687757,0
38,18114.991402163636,86,1189696.0100494844,16,1,Brasil,5.0,1,9,5,5,0,0,1,0,5,321660.4670998931,0
33,11675.816141113024,58,329502.3458579272,13,1,Brasil,5.0,0,5,1,1,0,0,0,1,2,79424.14656476052,0
62,7966.205069810601,22,388118.49671419204,5,0,EUA,13.75,0,0,2,3,0,1,0,0,1,75273.97367398562,0
35,3656.408489066651,74,1435060.9608226095,12,0,Brasil,13.75,0,6,2,1,0,0,0,0,5,251509.84559410374,0
64,6111.8517078928335,90,110291.6105443297,7,1,EUA,13.75,1,14,5,4,1,0,0,1,8,24769.200968274203,1
41,6504.660700405359,79,965879.7366822314,9,1,Brasil,13.75,0,2,3,3,0,0,0,0,2,233857.62535361713,0
43,17513.878509846018,38,304956.02850899805,5,1,Brasil,2.0,0,3,2,2,1,0,0,0,1,99071.28053926078,0
42,12463.298348907785,105,872105.0840039115,4,2,EUA,13.75,0,1,3,3,0,1,0,0,0,250543.99794739083,1
62,13558.418096367952,106,1502335.6699227218,10,1,Brasil,13.75,0,4,1,2,1,0,0,0,2,172831.52158829433,0
58,3118.3159642594965,119,923037.727200454,16,2,Brasil,13.75,0,6,3,2,1,0,0,0,3,133124.61515544594,0
46,7208.134283130954,49,335267.70687204466,11,1,Brasil,13.75,1,13,4,5,1,1,1,0,9,53452.30605304767,1
32,15548.319105785147,1,511331.48700971843,9,0,Brasil,13.75,0,4,1,1,0,1,0,0,1,77470.02684987664,1
62,13147.096449530345,78,741403.781417843,5,2,Brasil,13.75,1,14,4,5,1,1,1,1,10,129020.69145327268,1
18,11411.17888525761,36,148426.7551379653,11,2,Brasil,5.0,0,7,1,1,0,0,0,0,5,29923.258201802862,0
42,14259.36943440049,95,1172831.8958014324,9,1,Brasil,5.0,0,6,1,2,0,0,0,0,5,122238.02285337615,0
24,18543.19122454326,28,1218992.2446433199,17,0,Brasil,13.75,0,0,1,1,1,0,0,1,0,142680.64242317196,1
26,11115.830145851798,98,133682.33499380923,11,0,Alemanha,5.0,0,4,3,4,0,0,1,0,2,35503.6490180615,0
41,12277.479210632278,35,810599.5291365824,6,2,Brasil,13.75,0,2,2,3,0,0,0,0,2,202794.99249067061,0
18,12770.387674925221,60,833861.3589406026,16,0,EUA,13.75,0,7,3,3,0,0,0,0,3,266074.08936672175,0
61,21568.43854109597,103,674300.9414196764,19,1,Brasil,2.0,1,11,4,5,1,1,0,0,7,228421.96711641081,0
25,3602.5749423238976,62,1119902.0832589127,14,1,EUA,13.75,0,7,1,1,1,0,0,0,4,316846.45113746304,0
41,14732.892059155232,87,698455.4052196224,3,0,Brasil,13.75,0,7,3,4,0,0,0,0,3,138760.32231382848,0
28,11540.791004963745,46,838654.4661608341,10,1,Brasil,13.75,0,4,3,2,1,1,0,0,2,239841.21716927525,0
68,14267.086904736718,108,1597071.8594087951,4,1,Brasil,2.0,0,7,3,2,0,0,0,1,5,390762.1365641886,0
34,9370.509784021102,83,332597.61730610084,2,1,Brasil,13.75,0,1,1,2,1,1,0,0,0,111674.60076083186,1
25,11804.1398765662,82,1242038.2436538076,13,1,Brasil,13.75,1,14,3,2,1,1,1,0,10,405054.6636681371,0
52,14845.64231786198,79,1016132.8593647827,11,2,Brasil,13.75,0,4,2,3,0,0,0,0,3,315058.4313802289,0
52,24451.640804175364,61,617092.5585839046,12,1,Brasil,13.75,0,3,2,3,1,0,0,1,1,162046.46199309418,0
50,15232.144757608286,65,1457793.9664159173,1,1,EUA,13.75,0,4,2,1,0,1,0,0,3,208096.07877993572,0
22,8607.737607877965,89,1106864.8354868845,9,1,Alemanha,13.75,0,0,1,2,1,0,0,1,0,323664.8387334866,0
59,10304.961271909187,26,959949.4386517837,12,0,Brasil,13.75,0,3,1,1,1,0,0,0,1,306903.70962808747,1
56,10186.343566464584,35,1338661.9363946882,7,2,Brasil,13.75,0,2,3,3,1,0,0,0,1,385170.9135633423,0
58,4817.42730947994,57,1606557.712882908,17,1,Brasil,5.0,1,8,4,3,1,0,1,0,6,395866.6345719412,1
45,10679.639233194252,79,1945610.8921668166,10,1,Brasil,13.75,0,7,3,3,0,1,0,0,5,556625.2625052416,0
24,14931.31632728698,63,1262407.2330689833,6,1,Brasil,13.75,0,2,3,2,0,0,0,0,0,241799.06811432887,0
26,6903.07152369282,4,1750135.570946762,7,1,EUA,13.75,1,11,4,4,1,0,0,0,6,236360.71822103555,1
25,16193.93060420237,79,12172.166635684316,19,0,Brasil,13.75,0,5,1,1,0,0,0,0,2,2245.8699151551104,0
29,13951.099284337353,42,1065169.0285245236,14,2,EUA,13.75,0,5,2,3,0,1,0,0,3,335634.6696043534,0
51,9063.066712115848,102,437148.6220526942,11,0,Brasil,5.0,0,2,3,3,1,0,0,0,1,141634.5590231109,1
50,11433.88145064861,45,197442.98959544298,2,1,EUA,2.0,0,4,1,2,1,1,0,0,2,29645.607697954085,0
65,18393.287230564132,39,1068622.3239581403,1,1,Brasil,13.75,0,3,2,1,1,0,0,0,3,130240.17660769094,0
40,14934.191254023463,118,1496184.7472366972,10,1,Brasil,5.0,0,7,1,1,0,0,0,1,3,186262.340243992,0
41,12035.13461959259,65,830422.3197240157,12,2,EUA,5.0,0,0,1,2,0,0,1,0,0,196336.23052749078,0
54,11049.266732156062,22,1343513.8241954255,9,1,Brasil,2.0,1,10,5,4,1,1,0,0,6,224043.36544641154,1
52,12306.436281806638,11,984541.3151434903,11,1,Brasil,5.0,0,2,3,3,0,0,0,0,0,203728.47852930045,0
61,9952.945768230786,110,879800.8732592578,1,1,Brasil,13.75,1,11,4,5,0,1,1,1,8,207961.64632597545,1
57,3581.001977123942,102,587610.7144673626,10,2,Brasil,13.75,0,0,3,4,0,0,0,0,0,67153.57435133898,0
39,20168.711642138922,37,771361.0938569991,19,1,Brasil,5.0,0,7,2,1,0,1,0,0,5,229336.1094485947,0
44,12621.299996797607,115,706093.3052809115,11,1,Brasil,13.75,0,6,2,1,0,0,0,0,4,102278.54062381893,0
52,13592.589060490149,90,1295912.4961896143,3,2,Brasil,13.75,1,10,5,5,1,0,1,0,5,275831.2984646735,1
18,11768.369000492365,51,240876.83744548768,16,0,Brasil,13.75,1,8,5,5,1,1,0,1,5,76555.96318331812,0
52,9059.532797101649,91,194346.37368873393,10,0,Alemanha,2.0,0,5,2,3,0,1,0,1,4,59383.46871613982,0
54,11256.302076204916,58,1323425.8584748362,2,2,EUA,13.75,1,11,4,3,0,0,1,0,7,426340.0558783197,0
64,5602.420951222755,77,1097133.1590589727,19,2,Brasil,13.75,1,10,4,5,1,0,0,1,6,304903.19443460676,0
31,21108.345992213217,7,866098.1925178886,4,1,EUA,13.75,1,9,4,5,1,0,0,1,7,137548.56117734942,1
20,7061.9520063104155,8,313361.33997172804,16,1,Brasil,13.75,1,10,4,3,1,1,1,0,7,62421.94765621641,0
18,7872.134864611282,110,827943.9526199299,6,1,Brasil,13.75,0,5,2,3,0,1,0,0,2,103701.15666763035,0
22,10238.963182454398,51,1581566.2090068231,11,0,Brasil,5.0,0,0,1,1,1,0,0,0,1,305543.6187274304,0
43,17152.30289940951,115,1780346.2592206215,17,1,Alemanha,2.0,1,12,4,3,1,0,0,0,9,180228.60802965972,0
31,12058.035997050616,23,1408127.374228798,15,1,EUA,2.0,0,6,1,1,1,0,0,0,4,331796.5309451857,0
56,7055.45681587815,90,129225.23000295284,4,0,EUA,13.75,1,12,3,4,1,1,0,1,9,14594.897405492971,1
44,17017.35344302936,108,1344115.455436226,8,1,Brasil,13.75,0,4,1,2,0,0,0,0,3,171476.16944086232,0
26,14924.002507141926,119,489561.32319712616,18,1,Brasil,2.0,0,0,3,4,1,0,0,0,1,120241.14301846019,0
32,14153.73982886581,91,637349.9736225461,14,1,Brasil,5.0,0,3,1,2,0,0,0,0,2,74229.37131437015,0
32,14862.936964683362,9,399787.6838403692,2,1,EUA,5.0,0,2,2,2,0,0,0,0,2,108985.51949282261,0
43,21577.447602329805,46,1553754.0233342072,16,2,EUA,13.75,1,13,4,4,1,1,0,1,9,417222.94450674666,1
59,20740.37958014445,38,1300718.2240481852,15,1,Brasil,13.75,0,6,1,1,0,0,0,0,3,427647.62465544767,0
30,9253.138627986818,111,1227551.75865237,6,1,Brasil,5.0,0,0,2,3,1,1,0,0,1,266559.87835701404,0
68,18495.53997124461,13,1339265.4932418594,9,1,Brasil,13.75,0,3,3,3,0,0,0,0,2,466405.03928159387,0
49,13532.672759035602,7,481176.80019376776,12,0,Brasil,13.75,1,10,5,5,1,1,0,0,5,159012.29277850693,1
56,13996.383264550997,11,894842.3845074696,10,1,Brasil,5.0,0,2,3,3,0,1,0,0,1,186086.1002762224,0
66,5230.9166734266855,74,1270174.9058824885,7,1,EUA,5.0,0,1,1,1,0,0,1,0,1,227210.05475716075,0
69,11318.456938447216,97,1276822.1149604178,5,1,Alemanha,13.75,0,0,2,3,0,1,0,0,0,283670.2050745498,1
49,8748.70563865374,103,1585785.2068827099,8,2,EUA,13.75,0,3,1,2,1,0,0,1,3,345506.94232331024,0
21,15312.235259573237,50,581336.89370934,12,1,Brasil,5.0,0,5,1,1,0,0,0,1,2,81458.38788315176,1
47,16284.322001611221,119,1542968.8821766765,1,0,Brasil,13.75,1,14,5,5,1,0,1,1,8,463646.8508037201,1
54,3702.0545959347546,67,885967.116427702,10,1,Brasil,2.0,0,0,1,1,0,0,1,0,0,109971.33741230529,0
40,11911.860543982919,41,1343643.6571972803,11,1,Brasil,5.0,0,5,1,2,0,0,0,0,2,173362.4323917959,0
56,16487.44601917701,29,916881.5663299207,5,1,EUA,5.0,1,11,5,5,0,0,0,1,8,224271.00054221027,0
62,11253.28415074622,37,1897734.2378839771,13,2,EUA,13.75,0,3,3,4,1,1,0,0,2,298709.6692043296,1
32,14916.254580009458,119,366811.5068358725,18,1,EUA,13.75,0,6,3,3,0,0,1,0,5,117804.45126159377,0
60,13404.661870508337,56,1353260.1262788905,10,0,Brasil,13.75,0,7,3,4,0,0,0,1,5,473010.62444241607,0
46,13366.640927810506,109,1157304.6515286362,17,0,Brasil,13.75,0,1,1,2,0,1,1,0,0,160548.59124247037,1
53,10914.74008772681,80,353734.77148601174,19,1,Alemanha,13.75,0,2,1,1,0,0,0,0,0,118391.64542341154,0
30,7133.676783457162,16,141352.60826521917,4,0,EUA,13.75,0,0,2,2,1,0,0,0,0,41989.8838072531,0
49,7513.87941029989,44,1600297.3340536107,9,1,Brasil,13.75,1,10,4,4,0,1,0,0,5,311519.9685320002,1
24,14837.41005782127,50,323328.1539560677,18,1,Brasil,13.75,0,4,2,3,1,0,0,0,3,75432.68216446094,0
68,12077.833022075532,107,381148.2987436942,16,1,Brasil,13.75,0,0,3,2,0,0,0,0,0,75422.29001630492,0
39,11445.951021571102,113,1957084.1057381884,7,1,Brasil,13.75,0,6,2,2,0,0,0,0,4,447218.5538929695,0
45,10304.43983071059,71,1437349.094438495,12,1,Brasil,13.75,0,7,3,3,1,0,0,0,4,328650.20361444895,1
19,10779.244618076993,79,508468.8147864327,4,0,Brasil,2.0,0,1,3,4,1,0,0,0,1,147339.9656065915,0
59,16187.647177952556,102,1185988.4307016865,12,1,Brasil,13.75,1,9,4,4,1,1,0,0,7,315222.8973893159,1
62,10659.023672527894,6,1072882.5584210015,12,1,Brasil,13.75,0,6,1,1,0,0,0,0,3,128096.20072813392,0
23,6635.741146793725,18,1690501.8023525567,4,1,Alemanha,13.75,1,12,4,5,1,1,0,0,9,295062.4994198304,1
45,14974.607102160693,19,1461348.2881869224,12,0,Brasil,13.75,0,7,3,4,1,1,0,0,5,176759.2148097882,0
45,11180.493344541132,116,1665125.0397314397,8,1,Brasil,13.75,0,0,2,3,0,0,0,0,1,344354.4338533848,0
61,12125.583462131106,51,430898.11007495126,3,1,Brasil,13.75,0,7,2,2,0,0,0,0,4,95146.50112970613,0
61,18430.31322559804,66,1284036.2166903403,16,0,Brasil,2.0,0,5,1,1,0,0,0,0,3,242698.76616210275,0
37,11917.757770597971,3,90079.30825257684,2,2,Brasil,13.75,1,9,4,4,1,1,1,1,5,13035.746056025717,1
47,13156.734692474902,110,147191.81843564802,6,1,Brasil,5.0,0,1,1,2,1,0,1,0,0,28282.136653305322,1
28,7284.306034806699,118,1429918.7950821486,17,1,Brasil,2.0,0,6,2,1,0,1,0,0,5,389722.5112170313,0
45,11121.32219059616,89,58596.00426142339,12,1,Brasil,13.75,1,13,4,3,1,1,0,1,7,7652.6773196007425,1
42,14438.104180834405,100,1163732.3677120132,9,2,Brasil,13.75,0,6,3,2,0,0,0,1,3,269051.54338471463,1
56,5778.505064635031,54,1682406.1459046148,16,1,Brasil,13.75,0,0,3,4,0,0,0,0,0,461842.73660391313,0
50,12803.380372462838,49,766084.198751877,7,1,Alemanha,5.0,0,2,3,3,0,0,0,0,1,116090.39528794684,0
18,12403.164290579225,28,99232.46931142645,8,1,Brasil,13.75,0,1,3,3,0,1,0,0,0,32782.69999849669,0
44,12165.149822349758,38,1430556.4247611663,7,0,Brasil,13.75,1,8,5,5,0,0,0,1,5,191566.55754411314,0
69,16148.635594632973,28,1860076.0404036602,5,0,Alemanha,5.0,1,12,5,4,1,1,0,1,7,259462.2632969328,1
30,13337.754059394087,32,1437171.0701959531,7,0,Brasil,13.75,1,8,5,5,0,1,1,1,4,188536.8853718313,1
58,17912.287593425775,115,1161110.0135755227,18,0,Brasil,13.75,0,3,1,2,1,0,0,0,2,348137.03664808057,0
20,8025.6419376238555,41,467757.3714593295,18,1,Brasil,13.75,0,2,1,1,0,0,0,1,0,58015.55599075072,1
56,12543.698268873391,36,40597.49184854902,16,0,EUA,13.75,1,9,4,5,1,0,0,1,6,9192.50404716362,0
23,12337.86714555979,103,1392397.495873316,7,1,Brasil,13.75,1,10,3,4,1,0,1,0,7,448236.5857195163,1
25,7722.982024979679,36,469742.08993014303,2,1,Brasil,13.75,0,5,1,1,0,0,0,0,2,113784.88398712111,0
44,15825.180008365383,107,1717743.7275928913,17,1,Brasil,13.75,0,3,1,1,0,0,0,1,2,327599.9599470036,0
26,21298.693223411272,118,938064.5964768965,8,1,Brasil,13.75,0,3,2,1,1,0,0,0,1,200168.44687031736,0
54,11931.975702064676,87,1065964.8089211879,2,1,Brasil,2.0,1,10,3,2,0,1,1,1,5,113539.22087877514,1
50,14020.084353095068,66,1510333.7230900698,18,1,EUA,13.75,0,7,1,1,0,1,0,0,3,340264.73673893616,1
68,12338.07390326131,10,1561066.909528653,19,1,Brasil,13.75,0,1,3,2,1,1,0,1,1,507578.0518521026,1
59,9145.661320371297,70,1288875.1578303305,9,1,Brasil,13.75,0,6,2,1,0,0,0,0,3,410645.35859891074,0
61,4716.958888791935,72,1877479.3126713587,12,1,EUA,2.0,0,7,1,1,0,0,1,0,4,220457.82276992896,0
41,9176.90606761854,79,1964773.8882776345,19,1,Brasil,13.75,0,6,2,3,0,0,0,0,4,437446.6737797368,0
32,6432.166476193075,109,1894302.0343054875,8,1,Brasil,13.75,0,3,1,1,0,0,0,0,2,236530.42275993124,0
49,18816.408312236472,93,1650116.5788344475,8,2,Brasil,2.0,1,8,3,3,0,0,1,1,4,407320.4862591335,0
49,11539.561224307043,63,1414194.1882860605,10,0,Brasil,2.0,0,7,3,4,0,0,0,0,3,302719.9155416891,0
41,10616.322683811317,92,1330018.4571845185,18,2,EUA,13.75,1,12,4,3,0,0,1,0,7,357331.60435678804,1
58,15556.615299151224,22,216462.85207186246,15,1,Brasil,13.75,0,1,3,3,0,0,0,0,1,49032.73740258563,0
69,7512.995588576448,98,550253.8501700339,11,1,Brasil,2.0,1,10,4,4,0,1,1,0,7,115383.2033664007,1
66,8932.54384798179,20,21319.5648234603,14,1,Brasil,13.75,1,13,5,5,1,1,0,1,7,4025.594763047504,1
66,12272.289076994484,33,283445.64176564384,15,1,Brasil,13.75,0,5,2,1,1,0,0,1,2,33000.20272798429,1
69,16115.075965693923,15,884066.6595666849,14,2,Brasil,5.0,1,11,3,3,1,0,1,1,6,240725.75753780187,1
29,14006.740180675153,7,301607.736070256,12,0,Brasil,13.75,0,3,2,2,0,0,0,1,1,43348.885290455386,0
56,12993.30057006353,88,1804310.1952067483,4,1,Brasil,13.75,0,2,3,3,0,0,0,0,0,549220.5637041522,0
19,12312.470940944066,90,1613341.3788172111,3,0,Brasil,13.75,0,4,3,3,0,0,0,0,2,291669.1247649104,0
