Idade,Renda,TempoDeRelacao,TicketMedioInvestido,QtdProdutosNaCarteira,PerfilRisco,Pais,TaxaJuros,HistoricoInvestimentoESG,EngajamentoESG,ConhecimentoESG,PreocupacaoAmbiental,AcessouPagESG,LeuArtigoESG,ParticipouWebinarESG,AssessorESGAtivo,NPS_ESG,ValorAlocadoESG,ESG_Label
41,12277.479210632278,35,810599.5291365824,6,2,Brasil,13.75,0,2,2,3,0,0,0,0,2,0.0,0
18,12770.387674925221,60,833861.3589406026,16,0,EUA,13.75,0,7,3,3,0,0,0,0,3,0.0,0
61,21568.43854109597,103,674300.9414196764,19,1,Brasil,2.0,1,11,4,5,1,1,0,0,7,95726.4219466849,0
25,3602.5749423238976,62,1119902.0832589127,14,1,EUA,13.75,0,7,1,1,1,0,0,0,4,0.0,0
41,14732.892059155232,87,698455.4052196224,3,0,Brasil,13.75,0,7,3,4,0,0,0,0,3,0.0,0
28,11540.791004963745,46,838654.4661608341,10,1,Brasil,13.75,0,4,3,2,1,1,0,0,2,0.0,0
68,14267.086904736718,108,1597071.8594087951,4,1,Brasil,2.0,0,7,3,2,0,0,0,1,5,0.0,0
34,9370.509784021102,83,332597.61730610084,2,1,Brasil,13.75,0,1,1,2,1,1,0,0,0,0.0,1
25,11804.1398765662,82,1242038.2436538076,13,1,Brasil,13.75,1,14,3,2,1,1,1,0,10,90925.9523451472,0
52,14845.64231786198,79,1016132.8593647827,11,2,Brasil,13.75,0,4,2,3,0,0,0,0,3,0.0,0
52,24451.640804175364,61,617092.5585839046,12,1,Brasil,13.75,0,3,2,3,1,0,0,1,1,0.0,0
50,15232.144757608286,65,1457793.9664159173,1,1,EUA,13.75,0,4,2,1,0,1,0,0,3,0.0,0
22,8607.737607877965,89,1106864.8354868845,9,1,Alemanha,13.75,0,0,1,2,1,0,0,1,0,0.0,0
59,10304.961271909187,26,959949.4386517837,12,0,Brasil,13.75,0,3,1,1,1,0,0,0,1,0.0,1
56,10186.343566464584,35,1338661.9363946882,7,2,Brasil,13.75,0,2,3,3,1,0,0,0,1,0.0,0
58,4817.42730947994,57,1606557.712882908,17,1,Brasil,5.0,1,8,4,3,1,0,1,0,6,60634.5578693204,1
45,10679.639233194252,79,1945610.8921668166,10,1,Brasil,13.75,0,7,3,3,0,1,0,0,5,0.0,0
24,14931.31632728698,63,1262407.2330689833,6,1,Brasil,13.75,0,2,3,2,0,0,0,0,0,0.0,0
26,6903.07152369282,4,1750135.570946762,7,1,EUA,13.75,1,11,4,4,1,0,0,0,6,18320.065950894084,1
25,16193.93060420237,79,12172.166635684316,19,0,Brasil,13.75,0,5,1,1,0,0,0,0,2,0.0,0
29,13951.099284337353,42,1065169.0285245236,14,2,EUA,13.75,0,5,2,3,0,1,0,0,3,0.0,0
51,9063.066712115848,102,437148.6220526942,11,0,Brasil,5.0,0,2,3,3,1,0,0,0,1,0.0,1
50,11433.88145064861,45,197442.98959544298,2,1,EUA,2.0,0,4,1,2,1,1,0,0,2,0.0,0
65,18393.287230564132,39,1068622.3239581403,1,1,Brasil,13.75,0,3,2,1,1,0,0,0,3,0.0,0
40,14934.191254023463,118,1496184.7472366972,10,1,Brasil,5.0,0,7,1,1,0,0,0,1,3,0.0,0
41,12035.13461959259,65,830422.3197240157,12,2,EUA,5.0,0,0,1,2,0,0,1,0,0,0.0,0
54,11049.266732156062,22,1343513.8241954255,9,1,Brasil,2.0,1,10,5,4,1,1,0,0,6,30368.51719454475,1
52,12306.436281806638,11,984541.3151434903,11,1,Brasil,5.0,0,2,3,3,0,0,0,0,0,0.0,0
61,9952.945768230786,110,879800.8732592578,1,1,Brasil,13.75,1,11,4,5,0,1,1,1,8,56821.94494888123,1
57,3581.001977123942,102,587610.7144673626,10,2,Brasil,13.75,0,0,3,4,0,0,0,0,0,0.0,0
39,20168.711642138922,37,771361.0938569991,19,1,Brasil,5.0,0,7,2,1,0,1,0,0,5,0.0,0
44,12621.299996797607,115,706093.3052809115,11,1,Brasil,13.75,0,6,2,1,0,0,0,0,4,0.0,0
52,13592.589060490149,90,1295912.4961896143,3,2,Brasil,13.75,1,10,5,5,1,0,1,0,5,47881.92198529395,1
18,11768.369000492365,51,240876.83744548768,16,0,Brasil,13.75,1,8,5,5,1,1,0,1,5,87772.36781325836,0
52,9059.532797101649,91,194346.37368873393,10,0,Alemanha,2.0,0,5,2,3,0,1,0,1,4,0.0,0
54,11256.302076204916,58,1323425.8584748362,2,2,EUA,13.75,1,11,4,3,0,0,1,0,7,89416.54505713435,0
64,5602.420951222755,77,1097133.1590589727,19,2,Brasil,13.75,1,10,4,5,1,0,0,1,6,72605.42531093323,0
31,21108.345992213217,7,866098.1925178886,4,1,EUA,13.75,1,9,4,5,1,0,0,1,7,27349.338791990624,1
20,7061.9520063104155,8,313361.33997172804,16,1,Brasil,13.75,1,10,4,3,1,1,1,0,7,42696.44714789107,0
18,7872.134864611282,110,827943.9526199299,6,1,Brasil,13.75,0,5,2,3,0,1,0,0,2,0.0,0
22,10238.963182454398,51,1581566.2090068231,11,0,Brasil,5.0,0,0,1,1,1,0,0,0,1,0.0,0
43,17152.30289940951,115,1780346.2592206215,17,1,Alemanha,2.0,1,12,4,3,1,0,0,0,9,5468.28710795396,0
31,12058.035997050616,23,1408127.374228798,15,1,EUA,2.0,0,6,1,1,1,0,0,0,4,0.0,0
56,7055.45681587815,90,129225.23000295284,4,0,EUA,13.75,1,12,3,4,1,1,0,1,9,9917.787911544823,1
44,17017.35344302936,108,1344115.455436226,8,1,Brasil,13.75,0,4,1,2,0,0,0,0,3,0.0,0
26,14924.002507141926,119,489561.32319712616,18,1,Brasil,2.0,0,0,3,4,1,0,0,0,1,0.0,0
32,14153.73982886581,91,637349.9736225461,14,1,Brasil,5.0,0,3,1,2,0,0,0,0,2,0.0,0
32,14862.936964683362,9,399787.6838403692,2,1,EUA,5.0,0,2,2,2,0,0,0,0,2,0.0,0
43,21577.447602329805,46,1553754.0233342072,16,2,EUA,13.75,1,13,4,4,1,1,0,1,9,69039.78012706412,1
59,20740.37958014445,38,1300718.2240481852,15,1,Brasil,13.75,0,6,1,1,0,0,0,0,3,0.0,0
30,9253.138627986818,111,1227551.75865237,6,1,Brasil,5.0,0,0,2,3,1,1,0,0,1,0.0,0
68,18495.53997124461,13,1339265.4932418594,9,1,Brasil,13.75,0,3,3,3,0,0,0,0,2,0.0,0
49,13532.672759035602,7,481176.80019376776,12,0,Brasil,13.75,1,10,5,5,1,1,0,0,5,92576.85913265124,1
56,13996.383264550997,11,894842.3845074696,10,1,Brasil,5.0,0,2,3,3,0,1,0,0,1,0.0,0
66,5230.9166734266855,74,1270174.9058824885,7,1,EUA,5.0,0,1,1,1,0,0,1,0,1,0.0,0
69,11318.456938447216,97,1276822.1149604178,5,1,Alemanha,13.75,0,0,2,3,0,1,0,0,0,0.0,1
49,8748.70563865374,103,1585785.2068827099,8,2,EUA,13.75,0,3,1,2,1,0,0,1,3,0.0,0
21,15312.235259573237,50,581336.89370934,12,1,Brasil,5.0,0,5,1,1,0,0,0,1,2,0.0,1
47,16284.322001611221,119,1542968.8821766765,1,0,Brasil,13.75,1,14,5,5,1,0,1,1,8,81186.23236060806,1
54,3702.0545959347546,67,885967.116427702,10,1,Brasil,2.0,0,0,1,1,0,0,1,0,0,0.0,0
40,11911.860543982919,41,1343643.6571972803,11,1,Brasil,5.0,0,5,1,2,0,0,0,0,2,0.0,0
56,16487.44601917701,29,916881.5663299207,5,1,EUA,5.0,1,11,5,5,0,0,0,1,8,59948.73333223301,0
62,11253.28415074622,37,1897734.2378839771,13,2,EUA,13.75,0,3,3,4,1,1,0,0,2,0.0,1
32,14916.254580009458,119,366811.5068358725,18,1,EUA,13.75,0,6,3,3,0,0,1,0,5,0.0,0
60,13404.661870508337,56,1353260.1262788905,10,0,Brasil,13.75,0,7,3,4,0,0,0,1,5,0.0,0
46,13366.640927810506,109,1157304.6515286362,17,0,Brasil,13.75,0,1,1,2,0,1,1,0,0,0.0,1
53,10914.74008772681,80,353734.77148601174,19,1,Alemanha,13.75,0,2,1,1,0,0,0,0,0,0.0,0
30,7133.676783457162,16,141352.60826521917,4,0,EUA,13.75,0,0,2,2,1,0,0,0,0,0.0,0
49,7513.87941029989,44,1600297.3340536107,9,1,Brasil,13.75,1,10,4,4,0,1,0,0,5,40972.24598400436,1
24,14837.41005782127,50,323328.1539560677,18,1,Brasil,13.75,0,4,2,3,1,0,0,0,3,0.0,0
68,12077.833022075532,107,381148.2987436942,16,1,Brasil,13.75,0,0,3,2,0,0,0,0,0,0.0,0
39,11445.951021571102,113,1957084.1057381884,7,1,Brasil,13.75,0,6,2,2,0,0,0,0,4,0.0,0
45,10304.43983071059,71,1437349.094438495,12,1,Brasil,13.75,0,7,3,3,1,0,0,0,4,0.0,1
19,10779.244618076993,79,508468.8147864327,4,0,Brasil,2.0,0,1,3,4,1,0,0,0,1,0.0,0
59,16187.647177952556,102,1185988.4307016865,12,1,Brasil,13.75,1,9,4,4,1,1,0,0,7,67999.88997116084,1
62,10659.023672527894,6,1072882.5584210015,12,1,Brasil,13.75,0,6,1,1,0,0,0,0,3,0.0,0
23,6635.741146793725,18,1690501.8023525567,4,1,Alemanha,13.75,1,12,4,5,1,1,0,0,9,33325.72034143975,1
45,14974.607102160693,19,1461348.2881869224,12,0,Brasil,13.75,0,7,3,4,1,1,0,0,5,0.0,0
45,11180.493344541132,116,1665125.0397314397,8,1,Brasil,13.75,0,0,2,3,0,0,0,0,1,0.0,0
61,12125.583462131106,51,430898.11007495126,3,1,Brasil,13.75,0,7,2,2,0,0,0,0,4,0.0,0
61,18430.31322559804,66,1284036.2166903403,16,0,Brasil,2.0,0,5,1,1,0,0,0,0,3,0.0,0
37,11917.757770597971,3,90079.30825257684,2,2,Brasil,13.75,1,9,4,4,1,1,1,1,5,21991.358141874593,1
47,13156.734692474902,110,147191.81843564802,6,1,Brasil,5.0,0,1,1,2,1,0,1,0,0,0.0,1
28,7284.306034806699,118,1429918.7950821486,17,1,Brasil,2.0,0,6,2,1,0,1,0,0,5,0.0,0
45,11121.32219059616,89,58596.00426142339,12,1,Brasil,13.75,1,13,4,3,1,1,0,1,7,16628.25397571984,1
42,14438.104180834405,100,1163732.3677120132,9,2,Brasil,13.75,0,6,3,2,0,0,0,1,3,0.0,1
56,5778.505064635031,54,1682406.1459046148,16,1,Brasil,13.75,0,0,3,4,0,0,0,0,0,0.0,0
50,12803.380372462838,49,766084.198751877,7,1,Alemanha,5.0,0,2,3,3,0,0,0,0,1,0.0,0
18,12403.164290579225,28,99232.46931142645,8,1,Brasil,13.75,0,1,3,3,0,1,0,0,0,0.0,0
44,12165.149822349758,38,1430556.4247611663,7,0,Brasil,13.75,1,8,5,5,0,0,0,1,5,17885.99834775219,0
69,16148.635594632973,28,1860076.0404036602,5,0,Alemanha,5.0,1,12,5,4,1,1,0,1,7,20006.25238494978,1
30,13337.754059394087,32,1437171.0701959531,7,0,Brasil,13.75,1,8,5,5,0,1,1,1,4,16850.72266416237,1
58,17912.287593425775,115,1161110.0135755227,18,0,Brasil,13.75,0,3,1,2,1,0,0,0,2,0.0,0
20,8025.6419376238555,41,467757.3714593295,18,1,Brasil,13.75,0,2,1,1,0,0,0,1,0,0.0,1
56,12543.698268873391,36,40597.49184854902,16,0,EUA,13.75,1,9,4,5,1,0,0,1,6,53043.53074208507,0
23,12337.86714555979,103,1392397.495873316,7,1,Brasil,13.75,1,10,3,4,1,0,1,0,7,89328.50394964607,1
25,7722.982024979679,36,469742.08993014303,2,1,Brasil,13.75,0,5,1,1,0,0,0,0,2,0.0,0
44,15825.180008365383,107,1717743.7275928913,17,1,Brasil,13.75,0,3,1,1,0,0,0,1,2,0.0,0
26,21298.693223411272,118,938064.5964768965,8,1,Brasil,13.75,0,3,2,1,1,0,0,0,1,0.0,0
54,11931.975702064676,87,1065964.8089211879,2,1,Brasil,2.0,1,10,3,2,0,1,1,1,5,7474.979636147136,1
50,14020.084353095068,66,1510333.7230900698,18,1,EUA,13.75,0,7,1,1,0,1,0,0,3,0.0,1
68,12338.07390326131,10,1561066.909528653,19,1,Brasil,13.75,0,1,3,2,1,1,0,1,1,0.0,1
59,9145.661320371297,70,1288875.1578303305,9,1,Brasil,13.75,0,6,2,1,0,0,0,0,3,0.0,0
61,4716.958888791935,72,1877479.3126713587,12,1,EUA,2.0,0,7,1,1,0,0,1,0,4,0.0,0
41,9176.90606761854,79,1964773.8882776345,19,1,Brasil,13.75,0,6,2,3,0,0,0,0,4,0.0,0
32,6432.166476193075,109,1894302.0343054875,8,1,Brasil,13.75,0,3,1,1,0,0,0,0,2,0.0,0
49,18816.408312236472,93,1650116.5788344475,8,2,Brasil,2.0,1,8,3,3,0,0,1,1,4,60800.5149234972,0
49,11539.561224307043,63,1414194.1882860605,10,0,Brasil,2.0,0,7,3,4,0,0,0,0,3,0.0,0
41,10616.322683811317,92,1330018.4571845185,18,2,EUA,13.75,1,12,4,3,0,0,1,0,7,69093.3272933831,1
58,15556.615299151224,22,216462.85207186246,15,1,Brasil,13.75,0,1,3,3,0,0,0,0,1,0.0,0
69,7512.995588576448,98,550253.8501700339,11,1,Brasil,2.0,1,10,4,4,0,1,1,0,7,46682.527011275866,1
66,8932.54384798179,20,21319.5648234603,14,1,Brasil,13.75,1,13,5,5,1,1,0,1,7,38752.21551777282,1
66,12272.289076994484,33,283445.64176564384,15,1,Brasil,13.75,0,5,2,1,1,0,0,1,2,0.0,1
69,16115.075965693923,15,884066.6595666849,14,2,Brasil,5.0,1,11,3,3,1,0,1,1,6,70471.59557990858,1
29,14006.740180675153,7,301607.736070256,12,0,Brasil,13.75,0,3,2,2,0,0,0,1,1,0.0,0
56,12993.30057006353,88,1804310.1952067483,4,1,Brasil,13.75,0,2,3,3,0,0,0,0,0,0.0,0
19,12312.470940944066,90,1613341.3788172111,3,0,Brasil,13.75,0,4,3,3,0,0,0,0,2,0.0,0
20,13600.9434221071,50,152507.70505814126,12,0,Brasil,5.0,1,9,3,2,1,0,0,0,6,69897.39419974397,0
66,12806.611620517018,10,505338.29377985944,7,1,Brasil,13.75,0,3,2,1,0,0,0,1,3,0.0,0
54,7880.110900892257,79,1639953.0503769026,7,0,Brasil,2.0,0,1,1,1,0,0,0,0,0,0.0,0
66,12184.316886532606,37,1608061.7918541483,19,2,Brasil,13.75,0,2,3,4,1,0,0,0,1,0.0,0
34,7705.24536432899,59,1891446.5947343996,14,1,Brasil,13.75,1,9,3,2,1,1,1,0,5,80238.6341855538,0
66,12324.330171603295,88,1995120.045618547,1,1,Brasil,13.75,0,0,2,2,1,0,0,0,0,0.0,0
19,10077.408234047034,75,1952777.4258498326,7,1,Brasil,13.75,0,2,2,1,0,1,0,0,1,0.0,0
19,22157.526491131444,104,826174.5915856685,10,0,EUA,13.75,0,5,3,3,1,0,0,0,4,0.0,0
45,11840.422464993153,63,508153.60316604417,18,2,Brasil,13.75,0,5,1,1,1,0,1,0,2,0.0,0
40,6383.041734953645,21,1519236.2789498544,13,1,Brasil,13.75,0,3,1,1,0,0,0,1,1,0.0,0
54,11463.279157292302,104,605553.0565606212,8,1,Brasil,13.75,1,14,4,5,1,1,0,1,9,56421.64325143096,1
